angol;107660;157143
arab;107660;157143
bolgár;107660;157143
cseh;107660;157143
dán;107660;157143
finn;107660;157143
francia;107660;157143
görög;107660;157143
héber;107660;157143
hindi;107660;157143
horvát;107660;157143
ír;107660;157143
japán;107660;157143
latin;107660;157143
lengyel;107660;157143
mandarin;107660;157143
német;107660;157143
olasz;107660;157143
orosz;107660;157143
örmény;107660;157143
portugál;107660;157143
román;107660;157143
spanyol;107660;157143
svéd;107660;157143
szerb;107660;157143
szuahéli;107660;157143
thai;107660;157143
török;107660;157143
ukrán;107660;157143
